id,y
10441,49.66604
10442,62.46525
10443,160.53896
10444,124.58535
10445,10.933723
10446,44.30768
10447,298.8904
10448,12.754725
10449,39.373955
10450,26.354898
10451,17.742846
10452,109.08809
10453,249.9544
10454,25.24176
10455,107.84711
10456,13.464483
10457,28.377789
10458,508.44595
10459,26.790365
10460,850.0801
10461,29.181973
10462,24.774914
10463,93.73066
10464,684.22534
10465,65.38038
10466,1035.702
10467,84.33488
10468,79.22871
10469,19.580137
10470,382.7126
10471,41.28135
10472,28.377789
10473,38.843388
10474,77.845795
10475,61.586597
10476,66.30408
10477,48.736412
10478,745.307
10479,323.52502
10480,72.01394
10481,56.595722
10482,33.072468
10483,57.018215
10484,309.66632
10485,58.73854
10486,73.96438
10487,244.24007
10488,28.009
10489,128.05319
10490,62.993176
10491,573.33887
10492,99.28765
10493,51.4631
10494,58.79873
10495,251.88509
10496,366.22562
10497,51.886814
10498,20.437681
10499,11.80251
10500,70.96683
10501,1131.5764
10502,77.87163
10503,27.552801
10504,11.306697
10505,85.1636
10506,40.633057
10507,128.3453
10508,28.767
10509,80.42232
10510,44.287884
10511,33.350742
10512,106.63122
10513,37.688026
10514,80.62434
10515,65.833755
10516,77.74434
10517,65.78092
10518,65.1021
10519,46.63441
10520,73.93481
10521,39.98241
10522,23.589506
10523,686.18243
10524,20.7414
10525,66.809616
10526,11.043003
10527,15.773947
10528,62.55706
10529,20.80827
10530,11.400987
10531,12.551768
10532,657.6271
10533,34.988518
10534,50.942722
10535,43.92684
10536,39.854424
10537,96.50889
10538,290.8248
10539,96.27757
10540,19.63576
10541,53.275
10542,1055.4531
10543,62.525066
10544,329.8418
10545,32.433754
10546,35.56432
10547,3002.0847
10548,28.40908
10549,64.05731
10550,33.337807
10551,96.3635
10552,771.865
10553,38.76048
10554,64.676506
10555,1877.3583
10556,999.5981
10557,29.047033
10558,59.344055
10559,35.805748
10560,27.271978
10561,36.021286
10562,43.75891
10563,676.6999
10564,16.07217
10565,23.186846
10566,1126.289
10567,16.213446
10568,24.242517
10569,433.9476
10570,774.1813
10571,2261.0078
10572,18.597296
10573,293.568
10574,872.1523
10575,257.6843
10576,464.9872
10577,85.4415
10578,33.955467
10579,19.82564
10580,21.143618
10581,56.666218
10582,11.999075
10583,1142.3618
10584,16.729269
10585,469.52554
10586,17.202785
10587,2051.2397
10588,10.334175
10589,37.699856
10590,107.14235
10591,40.503323
10592,21.450287
10593,32.758915
10594,413.29495
10595,1099.5135
10596,310.17963
10597,317.84766
10598,16.628603
10599,571.94885
10600,764.36664
10601,23.088013
10602,19.001684
10603,226.31493
10604,291.81424
10605,670.8077
10606,449.4162
10607,127.48622
10608,325.7667
10609,153.11398
10610,64.325806
10611,127.434586
10612,39.624454
10613,19.35833
10614,20.437681
10615,836.59753
10616,17.189112
10617,46.337215
10618,59.865356
10619,104.511955
10620,135.88885
10621,102.17629
10622,987.2061
10623,29.419395
10624,27.496159
10625,897.85065
10626,25.268667
10627,32.70625
10628,660.779
10629,240.96544
10630,1167.2946
10631,46.427017
10632,10.258871
10633,25.514074
10634,35.580456
10635,2053.1174
10636,10.526489
10637,60.882626
10638,48.97535
10639,16.605497
10640,12.212289
10641,128.574
10642,66.325165
10643,63.525375
10644,36.199554
10645,53.433956
10646,256.97147
10647,45.002834
10648,708.301
10649,128.09406
10650,13.119675
10651,327.41443
10652,169.88876
10653,53.027058
10654,12.22321
10655,72.27318
10656,44.03291
10657,69.55442
10658,116.44385
10659,180.14539
10660,38.160416
10661,92.68893
10662,57.801968
10663,104.60036
10664,16.309877
10665,10.271469
10666,34.580666
10667,176.40575
10668,123.663
10669,72.83139
10670,15.017976
10671,12.364816
10672,19.057018
10673,685.4578
10674,170.07736
10675,622.2818
10676,63.525375
10677,35.180107
10678,72.27299
10679,51.083492
10680,74.13834
10681,71.30824
10682,72.64236
10683,1761.837
10684,250.8562
10685,399.61258
10686,520.2422
10687,118.25313
10688,441.4728
10689,66.30408
10690,77.37469
10691,769.1849
10692,22.784262
10693,19.69711
10694,1350.718
10695,155.1338
10696,71.32368
10697,10.3537655
10698,273.72684
10699,58.72966
10700,44.115086
10701,17.189112
10702,277.1104
10703,52.74595
10704,421.162
10705,12.432581
10706,18.922377
10707,194.26904
10708,12.392718
10709,203.59029
10710,178.535
10711,633.616
10712,10.517064
10713,872.11456
10714,702.71985
10715,777.7656
10716,164.28114
10717,15.269186
10718,46.24859
10719,2198.2012
10720,107.56666
10721,77.74434
10722,711.97363
10723,19.603546
10724,90.11672
10725,314.7597
10726,731.76715
10727,122.34232
10728,252.93344
10729,78.02632
10730,50.595043
10731,42.976044
10732,510.361
10733,19.63576
10734,963.43835
10735,188.94016
10736,29.298103
10737,64.11995
10738,77.93244
10739,49.582394
10740,444.62442
10741,59.353252
10742,36.17185
10743,125.13597
10744,373.28683
10745,51.58766
10746,67.57531
10747,27.552801
10748,193.7023
10749,18.405495
10750,74.14433
10751,77.503426
10752,659.7429
10753,907.69507
10754,173.11551
10755,46.48604
10756,66.34355
10757,85.53658
10758,94.740974
10759,264.03372
10760,50.942722
10761,36.911346
10762,74.14128
10763,25.514074
10764,127.993774
10765,91.27815
10766,173.60349
10767,1734.6768
10768,13.756814
10769,201.98062
10770,53.387905
10771,1271.2455
10772,73.0692
10773,58.708447
10774,85.20211
10775,520.1485
10776,12.791357
10777,177.76613
10778,80.875854
10779,658.4444
10780,1192.8932
10781,72.29793
10782,27.18909
10783,77.33545
10784,39.555737
10785,79.248436
10786,13.87202
10787,163.36417
10788,63.33175
10789,64.096
10790,16.870338
10791,87.52752
10792,18.824095
10793,865.3402
10794,58.288525
10795,71.018745
10796,25.600454
10797,29.785233
10798,3991.3713
10799,964.2148
10800,118.17828
10801,394.50174
10802,49.55058
10803,27.956545
10804,431.9107
10805,573.69586
10806,108.66987
10807,12.212289
10808,92.42192
10809,223.68317
10810,379.02368
10811,943.286
10812,233.56589
10813,33.102287
10814,21.111809
10815,40.049187
10816,13.88796
10817,117.998924
10818,24.077566
10819,189.42036
10820,892.1732
10821,1397.7693
10822,70.716545
10823,99.15648
10824,335.76715
10825,72.337776
10826,684.0525
10827,407.15384
10828,113.38678
10829,23.188328
10830,909.8411
10831,17.166677
10832,401.43283
10833,568.01044
10834,18.530048
10835,120.572876
10836,375.4779
10837,1425.2784
10838,40.1683
10839,51.267788
10840,10.498354
10841,49.549973
10842,46.695126
10843,25.49788
10844,38.93601
10845,25.910192
10846,15.112954
10847,862.52826
10848,429.94272
10849,85.19216
10850,65.702324
10851,83.40991
10852,59.07249
10853,16.078146
10854,10.281353
10855,542.48334
10856,3310.793
10857,97.7609
10858,22.796053
10859,13.488073
10860,80.475945
10861,83.32593
10862,325.25085
10863,855.0861
10864,399.85696
10865,588.6621
10866,2311.3435
10867,946.66113
10868,325.37888
10869,30.741388
10870,150.44276
10871,2955.203
10872,245.36462
10873,448.9075
10874,17.512388
10875,547.7723
10876,97.78069
10877,920.2185
10878,30.987122
10879,63.019814
10880,11.080147
10881,66.157684
10882,158.43819
10883,55.84978
10884,12.987397
10885,164.93292
10886,96.80315
10887,120.1952
10888,330.3286
10889,41.40065
10890,20.334236
10891,417.14526
10892,50.912334
10893,93.54326
10894,2247.157
10895,254.99396
10896,46.740635
10897,372.276
10898,17.85535
10899,159.21684
10900,10.51692
10901,10.281353
10902,63.019814
10903,224.82315
10904,74.130356
10905,396.78302
10906,105.18818
10907,96.89323
10908,97.99869
10909,22.985329
10910,128.18542
10911,104.53084
10912,97.886314
10913,755.6287
10914,106.97049
10915,13.681982
10916,19.408464
10917,65.061264
10918,10.343191
10919,17.85535
10920,263.6779
10921,11.508977
10922,64.844124
10923,70.41752
10924,43.921524
10925,98.09575
10926,527.4568
10927,83.3356
10928,857.0716
10929,209.96281
10930,124.86401
10931,11.073246
10932,43.71053
10933,44.065273
10934,45.40305
10935,48.613926
10936,40.691734
10937,59.284184
10938,86.5116
10939,25.280174
10940,55.050377
10941,79.46832
10942,11.356645
10943,32.009377
10944,26.25759
10945,38.720474
10946,177.97855
10947,46.377144
10948,46.905148
10949,747.5158
10950,47.13666
10951,323.84192
10952,38.22668
10953,26.914003
10954,40.360374
10955,22.270748
10956,65.82758
10957,19.739204
10958,330.3807
10959,71.876
10960,32.857384
10961,123.28192
10962,688.3148
10963,116.213585
10964,870.68463
10965,571.62854
10966,1471.5056
10967,40.707104
10968,85.22794
10969,165.11739
10970,28.727943
10971,62.502556
10972,94.95329
10973,1244.1782
10974,86.73006
10975,75.78095
10976,321.66083
10977,46.667706
10978,99.939835
10979,17.778723
10980,444.97446
10981,32.808105
10982,14.816918
10983,71.70956
10984,12.590227
10985,25.514074
10986,14.198013
10987,19.931433
10988,20.309704
10989,48.80089
10990,71.22087
10991,331.61157
10992,318.02008
10993,196.01085
10994,114.104774
10995,71.70956
10996,26.859426
10997,55.41782
10998,25.074572
10999,17.085808
11000,451.71103
11001,455.6614
11002,177.89001
11003,109.46943
11004,137.35982
11005,26.55575
11006,55.67144
11007,57.581486
11008,44.018543
11009,54.21971
11010,72.8254
11011,19.306787
11012,56.90438
11013,107.37811
11014,46.67092
11015,174.38956
11016,22.711973
11017,62.595844
11018,841.8345
11019,61.891506
11020,85.586266
11021,113.738914
11022,84.45409
11023,1125.4326
11024,207.18666
11025,44.065273
11026,20.499767
11027,257.26996
11028,10.612923
11029,41.432575
11030,211.54243
11031,148.8044
11032,76.573555
11033,1650.6799
11034,79.20547
11035,12.844854
11036,1438.2468
11037,39.715538
11038,66.60191
11039,940.17847
11040,17.85535
11041,336.59177
11042,35.61366
11043,79.23857
11044,293.57004
11045,49.37981
11046,22.550049
11047,17.374992
11048,44.228115
11049,239.35329
11050,21.139444
11051,66.49831
11052,90.530556
11053,156.75745
11054,27.047533
11055,38.73923
11056,47.688774
11057,32.628265
11058,30.37175
11059,166.89716
11060,66.68785
11061,96.20458
11062,50.980625
11063,58.803783
11064,107.45691
11065,944.38556
11066,72.29501
11067,85.137764
11068,1372.1975
11069,153.1791
11070,149.9635
11071,46.918518
11072,655.6036
11073,2326.8132
11074,227.10281
11075,55.41782
11076,57.475872
11077,86.70674
11078,2083.383
11079,209.85356
11080,35.885
11081,661.2189
11082,10.3682165
11083,11.196182
11084,37.604088
11085,10.343191
11086,123.56433
11087,46.918518
11088,42.909595
11089,32.67213
11090,19.395924
11091,152.57114
11092,1073.053
11093,15.907576
11094,22.985329
11095,32.668915
11096,342.57425
11097,129.12001
11098,41.07198
11099,25.49788
11100,71.66678
11101,309.72403
11102,17.85535
11103,51.4992
11104,39.649704
11105,150.90535
11106,59.083057
11107,15.41421
11108,46.640533
