userid,orderType
100000000371,0.100752292007
100000001215,0.037893443272
100000001445,0.0326148680526
100000001575,0.953461574003
100000001601,-0.0098225373525
100000001737,0.98412318136
100000001829,0.025290095055
100000002055,0.054843229167
100000002241,0.0488885659942
100000003067,0.00827260308341
100000004161,0.907494318603
100000004307,0.0228124017624
100000004855,0.760075891401
100000005055,0.0375448683814
100000005701,0.219113174721
100000006247,0.128771865456
100000006327,0.216837981506
100000006333,0.00855901892993
100000006397,0.0533514459344
100000007397,0.177480049556
100000007525,0.266709048153
100000007951,0.103753762166
100000007955,0.0258561731151
100000008131,0.0865615057391
100000008427,0.100179133996
100000008745,0.0677225446062
100000009049,0.16673973284
100000009197,0.127969897242
100000009419,0.0491132154115
100000009629,0.0693572813552
100000009961,0.944699061482
100000010157,1.0019908895
100000011403,0.0345991632234
100000012993,0.0766279559579
100000013089,0.143695541832
100000013205,0.0584447115596
100000013455,0.0693572813552
100000013591,0.159046515969
100000013861,0.0706844943519
100000014191,0.114516659509
100000014963,0.121453588629
100000015053,0.037893443272
100000015077,1.0812932663
100000015351,0.0693572813552
100000015659,0.983280064486
100000016411,0.0342319618501
100000016637,0.0531503594921
100000016665,0.205963524004
100000016715,0.0480728707149
100000016843,0.029060272907
100000017191,0.0345029674568
100000017255,0.0288030848736
100000017517,0.0421316737948
100000017533,0.0792862975768
100000018131,1.02573803887
100000018141,0.134061815037
100000018219,0.0480728707149
100000018439,0.0584447115596
100000018651,0.0271077744491
100000018843,0.0773178127257
100000019085,0.226826464839
100000019503,0.0345029674568
100000019777,0.0865615057391
100000019831,0.10775976731
100000019875,0.125742164003
100000020599,0.0656957999333
100000020705,0.133668993561
100000020839,0.249294925614
100000021007,0.0258026569645
100000021741,0.0654301433527
100000023031,0.130259698244
100000023341,0.0146364009756
100000023847,0.029060272907
110020671228,0.98805594318
110100014968,0.250442760889
110100016420,0.0301766262214
110100016422,0.0308009080656
110100018261,0.127969897242
110100035666,0.135419974249
110100073025,0.261039770143
110100073927,1.11175688924
110100116029,0.128724003926
110100133766,0.0853089535051
110100171523,0.162894455611
110100173226,0.127969897242
110100218469,0.0592160136285
110100235669,0.026476882583
110100316927,0.0645951405287
110100335267,0.000421536884279
110100371520,0.643650275161
110100373224,0.43953604933
110100412425,-0.150582148305
110100418260,0.193972174258
110100418567,0.287610657458
110100471522,0.0368157607963
110100471527,0.320233737979
110100473324,0.172877403299
110100512827,0.220080309111
110100514267,0.236519871769
110100516521,0.138350559397
